t,x
0.000000000000000000e+00,4.545117187500000155e-01
3.333333333333333570e+01,4.580143656318593215e-01
6.666666666666667140e+01,4.587353555988965548e-01
1.000000000000000000e+02,4.570898437500000577e-01
1.333333333333333428e+02,4.557795469201135208e-01
1.666666666666666856e+02,4.547070074944541962e-01
2.000000000000000000e+02,5.483007812500000355e-01
2.333333333333333428e+02,5.496919679068925646e-01
2.666666666666666856e+02,5.517394855357401484e-01
3.000000000000000000e+02,5.546289062500000533e-01
3.333333333333333712e+02,5.512514151757821335e-01
3.666666666666666856e+02,5.506871104751406287e-01
4.000000000000000000e+02,5.513476562500001510e-01
4.333333333333333712e+02,5.502295131239712811e-01
4.666666666666666856e+02,5.516984496891640388e-01
5.000000000000000568e+02,5.542773437500001510e-01
5.333333333333333712e+02,5.521932326180186701e-01
5.666666666666667425e+02,5.550023658820447681e-01
6.000000000000000000e+02,5.898103578629033672e-01
6.333333333333333712e+02,5.788266543307368783e-01
6.666666666666667425e+02,5.608547766182352401e-01
7.000000000000000000e+02,5.041210937500001377e-01
7.333333333333333712e+02,4.637274400984122691e-01
7.666666666666667425e+02,4.674166206883012542e-01
8.000000000000000000e+02,3.786914062500000289e-01
8.333333333333333712e+02,3.729359747423168781e-01
8.666666666666667425e+02,3.729440425404029202e-01
9.000000000000001137e+02,3.705664062500001465e-01
9.333333333333333712e+02,3.706881554364360176e-01
9.666666666666667425e+02,3.335741396739905773e-01
1.000000000000000114e+03,3.229882812500000089e-01
1.033333333333333485e+03,3.219993464466762711e-01
1.066666666666666742e+03,3.200663638827633828e-01
1.100000000000000000e+03,3.213476562500000577e-01
1.133333333333333485e+03,3.162307554920718577e-01
1.166666666666666742e+03,3.672363519091999540e-01
1.200000000000000000e+03,3.701367187500000377e-01
1.233333333333333485e+03,3.724096671262502878e-01
1.266666666666666742e+03,3.703565412141240354e-01
1.300000000000000000e+03,3.700585937500000533e-01
1.333333333333333485e+03,4.397109592549365287e-01
1.366666666666666742e+03,4.407655642262169327e-01
1.400000000000000000e+03,4.409179687500000555e-01
1.433333333333333485e+03,4.405231505282504179e-01
1.466666666666666742e+03,4.412510297558993044e-01
1.500000000000000000e+03,4.415039062500000222e-01
1.533333333333333485e+03,4.411043299805414986e-01
1.566666666666666742e+03,4.416599820912996410e-01
1.600000000000000000e+03,2.956054687500000444e-01
1.633333333333333485e+03,2.619115290425867992e-01
1.666666666666666742e+03,2.633684336713714158e-01
1.700000000000000227e+03,2.631445312500000910e-01
1.733333333333333485e+03,2.627413007744119344e-01
1.766666666666666742e+03,2.633012314294150835e-01
1.800000000000000227e+03,2.643164062500000244e-01
1.833333333333333485e+03,2.641764712811216498e-01
1.866666666666666742e+03,2.650003082946065791e-01
1.900000000000000227e+03,2.648632812500000822e-01
1.933333333333333485e+03,2.511971144542330947e-01
1.966666666666666742e+03,2.478205965818968126e-01
2.000000000000000227e+03,2.476757812500000877e-01
2.033333333333333485e+03,2.475922838872069154e-01
2.066666666666666970e+03,2.479020590196275575e-01
2.100000000000000000e+03,2.501757812500000067e-01
2.133333333333333485e+03,2.904494435398506380e-01
2.166666666666666970e+03,2.898836271985983370e-01
2.200000000000000000e+03,2.911523437500000422e-01
2.233333333333333485e+03,2.919049422175141184e-01
2.266666666666666970e+03,2.909751629543382845e-01
2.300000000000000000e+03,2.916601562499999689e-01
2.333333333333333485e+03,2.893071934139880286e-01
2.366666666666666970e+03,2.894801799266807363e-01
2.400000000000000000e+03,2.897070312499999689e-01
2.433333333333333485e+03,2.898091709391420467e-01
2.466666666666666970e+03,3.918786417610862216e-01
2.500000000000000000e+03,6.029882812500000355e-01
2.533333333333333485e+03,5.943422988603251911e-01
2.566666666666666970e+03,5.942223660063922219e-01
2.600000000000000000e+03,5.931445312500001066e-01
2.633333333333333485e+03,5.950790310520580606e-01
2.666666666666666970e+03,5.948896800966243514e-01
2.700000000000000000e+03,5.938476562499999112e-01
2.733333333333333485e+03,5.935204396267851346e-01
2.766666666666666970e+03,5.939750463553777893e-01
2.800000000000000000e+03,5.968554687500000622e-01
2.833333333333333485e+03,5.969659324869900363e-01
2.866666666666666970e+03,5.966637160298662312e-01
2.900000000000000000e+03,5.965039062500000488e-01
