t,x,y
0.000000000000000000e+00,4.403076505674049512e-01,4.684402344818156538e-01
1.000000000000000000e+00,4.400272593656002207e-01,4.683156161699024711e-01
2.000000000000000000e+00,4.398403318977303633e-01,4.684402344818156538e-01
3.000000000000000000e+00,4.400272593656002207e-01,4.684402344818156538e-01
4.000000000000000000e+00,4.403076505674049512e-01,4.689387077294686068e-01
5.000000000000000000e+00,4.403076505674049512e-01,4.693125626652083215e-01
6.000000000000000000e+00,4.404011143013398799e-01,4.693125626652083215e-01
7.000000000000000000e+00,4.404011143013398799e-01,4.693125626652083215e-01
8.000000000000000000e+00,4.404011143013398799e-01,4.691879443532949723e-01
9.000000000000000000e+00,4.404011143013398799e-01,4.689387077294686068e-01
1.000000000000000000e+01,4.404011143013398799e-01,4.689387077294686068e-01
1.100000000000000000e+01,4.404945780352748086e-01,4.686894711056421303e-01
1.200000000000000000e+01,4.404011143013398799e-01,4.686894711056421303e-01
1.300000000000000000e+01,4.404011143013398799e-01,4.685648527937288921e-01
1.400000000000000000e+01,4.402141868334700225e-01,4.686894711056421303e-01
1.500000000000000000e+01,4.400272593656002207e-01,4.688140894175553686e-01
1.600000000000000000e+01,4.399337956316652365e-01,4.686894711056421303e-01
1.700000000000000000e+01,4.399337956316652365e-01,4.686894711056421303e-01
1.800000000000000000e+01,4.399337956316652365e-01,4.684402344818156538e-01
1.900000000000000000e+01,4.398403318977303633e-01,4.680663795460759946e-01
2.000000000000000000e+01,4.398403318977303633e-01,4.674432879865098589e-01
2.100000000000000000e+01,4.396534044298605060e-01,4.678171429222495181e-01
2.200000000000000000e+01,4.397468681637954346e-01,4.679417612341627564e-01
2.300000000000000000e+01,4.397468681637954346e-01,4.680663795460759946e-01
2.400000000000000000e+01,4.397468681637954346e-01,4.684402344818156538e-01
2.500000000000000000e+01,4.397468681637954346e-01,4.684402344818156538e-01
2.600000000000000000e+01,4.396534044298605060e-01,4.683156161699024711e-01
2.700000000000000000e+01,4.396534044298605060e-01,4.680663795460759946e-01
2.800000000000000000e+01,4.396534044298605060e-01,4.678171429222495181e-01
2.900000000000000000e+01,4.396534044298605060e-01,4.681909978579892329e-01
3.000000000000000000e+01,4.396534044298605060e-01,4.675679062984230416e-01
3.100000000000000000e+01,4.397468681637954346e-01,4.673186696745966207e-01
3.200000000000000000e+01,4.396534044298605060e-01,4.670694330507701442e-01
3.300000000000000000e+01,4.396534044298605060e-01,4.678171429222495181e-01
3.400000000000000000e+01,4.398403318977303633e-01,4.676925246103363354e-01
3.500000000000000000e+01,4.397468681637954346e-01,4.675679062984230416e-01
3.600000000000000000e+01,4.398403318977303633e-01,4.673186696745966207e-01
3.700000000000000000e+01,4.397468681637954346e-01,4.674432879865098589e-01
3.800000000000000000e+01,4.397468681637954346e-01,4.673186696745966207e-01
3.900000000000000000e+01,4.397468681637954346e-01,4.673186696745966207e-01
4.000000000000000000e+01,4.396534044298605060e-01,4.673186696745966207e-01
4.100000000000000000e+01,4.396534044298605060e-01,4.674432879865098589e-01
4.200000000000000000e+01,4.395599406959255773e-01,4.671940513626833824e-01
4.300000000000000000e+01,4.393730132280557754e-01,4.670694330507701442e-01
4.400000000000000000e+01,4.392795494941208467e-01,4.669448147388569059e-01
4.500000000000000000e+01,4.391860857601859180e-01,4.674432879865098589e-01
4.600000000000000000e+01,4.386253033565764015e-01,4.674432879865098589e-01
4.700000000000000000e+01,4.387187670905112746e-01,4.671940513626833824e-01
4.800000000000000000e+01,4.389056945583811875e-01,4.673186696745966207e-01
4.900000000000000000e+01,4.390926220262509894e-01,4.668201964269437787e-01
5.000000000000000000e+01,4.391860857601859180e-01,4.666955781150305405e-01
5.100000000000000000e+01,4.392795494941208467e-01,4.666955781150305405e-01
