t,x,y
0.000000000000000000e+00,4.389056945583811875e-01,4.708079824081669584e-01
1.000000000000000000e+00,4.387187670905112746e-01,4.703095091605140055e-01
2.000000000000000000e+00,4.389991582923160607e-01,4.698110359128611635e-01
3.000000000000000000e+00,4.389991582923160607e-01,4.700602725366875845e-01
4.000000000000000000e+00,4.389056945583811875e-01,4.703095091605140055e-01
5.000000000000000000e+00,4.388122308244462588e-01,4.701848908486008227e-01
6.000000000000000000e+00,4.387187670905112746e-01,4.700602725366875845e-01
7.000000000000000000e+00,4.386253033565764015e-01,4.703095091605140055e-01
8.000000000000000000e+00,4.386253033565764015e-01,4.700602725366875845e-01
9.000000000000000000e+00,4.386253033565764015e-01,4.701848908486008227e-01
1.000000000000000000e+01,4.382514484208366867e-01,4.701848908486008227e-01
1.100000000000000000e+01,4.378775934850970275e-01,4.703095091605140055e-01
1.200000000000000000e+01,4.382514484208366867e-01,4.703095091605140055e-01
1.300000000000000000e+01,4.383449121547716154e-01,4.701848908486008227e-01
1.400000000000000000e+01,4.384383758887065996e-01,4.701848908486008227e-01
1.500000000000000000e+01,4.384383758887065996e-01,4.700602725366875845e-01
1.600000000000000000e+01,4.384383758887065996e-01,4.699356542247744017e-01
1.700000000000000000e+01,4.384383758887065996e-01,4.696864176009478697e-01
1.800000000000000000e+01,4.384383758887065996e-01,4.680663795460759946e-01
1.900000000000000000e+01,4.383449121547716154e-01,4.679417612341627564e-01
2.000000000000000000e+01,4.383449121547716154e-01,4.678171429222495181e-01
2.100000000000000000e+01,4.382514484208366867e-01,4.675679062984230416e-01
2.200000000000000000e+01,4.382514484208366867e-01,4.673186696745966207e-01
2.300000000000000000e+01,4.375972022832922970e-01,4.674432879865098589e-01
2.400000000000000000e+01,4.375972022832922970e-01,4.666955781150305405e-01
2.500000000000000000e+01,4.376906660172272256e-01,4.668201964269437787e-01
2.600000000000000000e+01,4.373168110814875109e-01,4.664463414912040640e-01
2.700000000000000000e+01,4.369429561457478517e-01,4.660724865554644047e-01
2.800000000000000000e+01,4.368494924118129230e-01,4.652001583720717925e-01
2.900000000000000000e+01,4.367560286778780498e-01,4.649509217482454271e-01
3.000000000000000000e+01,4.364756374760732638e-01,4.648263034363320778e-01
3.100000000000000000e+01,4.368494924118129230e-01,4.645770668125057123e-01
3.200000000000000000e+01,4.367560286778780498e-01,4.648263034363320778e-01
3.300000000000000000e+01,4.370364198796827804e-01,4.648263034363320778e-01
3.400000000000000000e+01,4.372233473475526377e-01,4.653247766839849753e-01
3.500000000000000000e+01,4.376906660172272256e-01,4.658232499316379283e-01
3.600000000000000000e+01,4.376906660172272256e-01,4.656986316197246900e-01
3.700000000000000000e+01,4.377841297511620988e-01,4.660724865554644047e-01
3.800000000000000000e+01,4.379710572190320117e-01,4.660724865554644047e-01
3.900000000000000000e+01,4.380645209529668849e-01,4.659478682435511110e-01
4.000000000000000000e+01,4.379710572190320117e-01,4.660724865554644047e-01
4.100000000000000000e+01,4.378775934850970275e-01,4.663217231792908257e-01
4.200000000000000000e+01,4.375972022832922970e-01,4.656986316197246900e-01
4.300000000000000000e+01,4.375037385493573683e-01,4.660724865554644047e-01
4.400000000000000000e+01,4.373168110814875109e-01,4.665709598031173022e-01
4.500000000000000000e+01,4.374102748154224396e-01,4.658232499316379283e-01
4.600000000000000000e+01,4.375037385493573683e-01,4.655740133078115073e-01
4.700000000000000000e+01,4.375037385493573683e-01,4.654493949958982135e-01
4.800000000000000000e+01,4.375037385493573683e-01,4.654493949958982135e-01
4.900000000000000000e+01,4.375037385493573683e-01,4.652001583720717925e-01
5.000000000000000000e+01,4.374102748154224396e-01,4.652001583720717925e-01
5.100000000000000000e+01,4.374102748154224396e-01,4.653247766839849753e-01
5.200000000000000000e+01,4.374102748154224396e-01,4.655740133078115073e-01
5.300000000000000000e+01,4.374102748154224396e-01,4.654493949958982135e-01
5.400000000000000000e+01,4.375037385493573683e-01,4.659478682435511110e-01
5.500000000000000000e+01,4.375037385493573683e-01,4.658232499316379283e-01
5.600000000000000000e+01,4.372233473475526377e-01,4.659478682435511110e-01
5.700000000000000000e+01,4.374102748154224396e-01,4.658232499316379283e-01
5.800000000000000000e+01,4.374102748154224396e-01,4.659478682435511110e-01
5.900000000000000000e+01,4.377841297511620988e-01,4.659478682435511110e-01
6.000000000000000000e+01,4.376906660172272256e-01,4.660724865554644047e-01
6.100000000000000000e+01,4.377841297511620988e-01,4.660724865554644047e-01
6.200000000000000000e+01,4.377841297511620988e-01,4.660724865554644047e-01
6.300000000000000000e+01,4.376906660172272256e-01,4.655740133078115073e-01
6.400000000000000000e+01,4.378775934850970275e-01,4.650755400601585543e-01
6.500000000000000000e+01,4.376906660172272256e-01,4.653247766839849753e-01
6.600000000000000000e+01,4.377841297511620988e-01,4.650755400601585543e-01
6.700000000000000000e+01,4.374102748154224396e-01,4.652001583720717925e-01
6.800000000000000000e+01,4.370364198796827804e-01,4.648263034363320778e-01
6.900000000000000000e+01,4.374102748154224396e-01,4.645770668125057123e-01
7.000000000000000000e+01,4.375037385493573683e-01,4.644524485005924741e-01
7.100000000000000000e+01,4.375972022832922970e-01,4.639539752529395766e-01
7.200000000000000000e+01,4.375037385493573683e-01,4.638293569410262829e-01
7.300000000000000000e+01,4.375037385493573683e-01,4.638293569410262829e-01
7.400000000000000000e+01,4.373168110814875109e-01,4.638293569410262829e-01
7.500000000000000000e+01,4.374102748154224396e-01,4.638293569410262829e-01
7.600000000000000000e+01,4.375972022832922970e-01,4.637047386291131001e-01
7.700000000000000000e+01,4.375972022832922970e-01,4.637047386291131001e-01
7.800000000000000000e+01,4.375972022832922970e-01,4.639539752529395766e-01
7.900000000000000000e+01,4.374102748154224396e-01,4.642032118767659976e-01
