t,x,y
0.000000000000000000e+00,4.824597945720536241e-01,4.253222985598395511e-01
1.000000000000000000e+00,4.822728671041837112e-01,4.259453901194056868e-01
2.000000000000000000e+00,4.821794033702487825e-01,4.259453901194056868e-01
3.000000000000000000e+00,4.821794033702487825e-01,4.263192450551454016e-01
4.000000000000000000e+00,4.821794033702487825e-01,4.259453901194056868e-01
5.000000000000000000e+00,4.819924759023790362e-01,4.255715351836659721e-01
6.000000000000000000e+00,4.818055484345091233e-01,4.254469168717527339e-01
7.000000000000000000e+00,4.823663308381186399e-01,4.253222985598395511e-01
8.000000000000000000e+00,4.826467220399233704e-01,4.256961534955792659e-01
9.000000000000000000e+00,4.826467220399233704e-01,4.261946267432321633e-01
1.000000000000000000e+01,4.827401857738582991e-01,4.256961534955792659e-01
1.100000000000000000e+01,4.823663308381186399e-01,4.253222985598395511e-01
1.200000000000000000e+01,4.819924759023790362e-01,4.253222985598395511e-01
1.300000000000000000e+01,4.821794033702487825e-01,4.254469168717527339e-01
1.400000000000000000e+01,4.821794033702487825e-01,4.255715351836659721e-01
1.500000000000000000e+01,4.821794033702487825e-01,4.260700084313188696e-01
1.600000000000000000e+01,4.825532583059884417e-01,4.256961534955792659e-01
1.700000000000000000e+01,4.826467220399233704e-01,4.258207718074924486e-01
1.800000000000000000e+01,4.828336495077932833e-01,4.260700084313188696e-01
1.900000000000000000e+01,4.826467220399233704e-01,4.268177183027982990e-01
2.000000000000000000e+01,4.824597945720536241e-01,4.258207718074924486e-01
2.100000000000000000e+01,4.824597945720536241e-01,4.254469168717527339e-01
2.200000000000000000e+01,4.825532583059884417e-01,4.253222985598395511e-01
2.300000000000000000e+01,4.825532583059884417e-01,4.258207718074924486e-01
2.400000000000000000e+01,4.828336495077932833e-01,4.253222985598395511e-01
2.500000000000000000e+01,4.828336495077932833e-01,4.259453901194056868e-01
2.600000000000000000e+01,4.827401857738582991e-01,4.264438633670585843e-01
2.700000000000000000e+01,4.830205769756630296e-01,4.264438633670585843e-01
2.800000000000000000e+01,4.833009681774678712e-01,4.264438633670585843e-01
2.900000000000000000e+01,4.832075044435329425e-01,4.258207718074924486e-01
3.000000000000000000e+01,4.834878956453376175e-01,4.255715351836659721e-01
3.100000000000000000e+01,4.837682868471424591e-01,4.255715351836659721e-01
3.200000000000000000e+01,4.844225329846868489e-01,4.253222985598395511e-01
3.300000000000000000e+01,4.842356055168170470e-01,4.259453901194056868e-01
3.400000000000000000e+01,4.843290692507519757e-01,4.259453901194056868e-01
3.500000000000000000e+01,4.834878956453376175e-01,4.266930999908849498e-01
3.600000000000000000e+01,4.833009681774678712e-01,4.274408098623643792e-01
3.700000000000000000e+01,4.832075044435329425e-01,4.274408098623643792e-01
3.800000000000000000e+01,4.833944319114027999e-01,4.274408098623643792e-01
3.900000000000000000e+01,4.829271132417282120e-01,4.280639014219305150e-01
4.000000000000000000e+01,4.833944319114027999e-01,4.280639014219305150e-01
4.100000000000000000e+01,4.836748231132075304e-01,4.280639014219305150e-01
4.200000000000000000e+01,4.839552143150122054e-01,4.283131380457569359e-01
4.300000000000000000e+01,4.835813593792726017e-01,4.281885197338437532e-01
4.400000000000000000e+01,4.835813593792726017e-01,4.281885197338437532e-01
4.500000000000000000e+01,4.834878956453376175e-01,4.276900464861908002e-01
4.600000000000000000e+01,4.835813593792726017e-01,4.276900464861908002e-01
4.700000000000000000e+01,4.836748231132075304e-01,4.278146647981040940e-01
4.800000000000000000e+01,4.833009681774678712e-01,4.295593211648892074e-01
4.900000000000000000e+01,4.834878956453376175e-01,4.288116112934098889e-01
5.000000000000000000e+01,4.835813593792726017e-01,4.280639014219305150e-01
5.100000000000000000e+01,4.836748231132075304e-01,4.281885197338437532e-01
5.200000000000000000e+01,4.834878956453376175e-01,4.281885197338437532e-01
5.300000000000000000e+01,4.836748231132075304e-01,4.281885197338437532e-01
5.400000000000000000e+01,4.838617505810773878e-01,4.275654281742776175e-01
5.500000000000000000e+01,4.838617505810773878e-01,4.270669549266246645e-01
5.600000000000000000e+01,4.837682868471424591e-01,4.265684816789718226e-01
5.700000000000000000e+01,4.836748231132075304e-01,4.263192450551454016e-01
5.800000000000000000e+01,4.835813593792726017e-01,4.260700084313188696e-01
5.900000000000000000e+01,4.836748231132075304e-01,4.263192450551454016e-01
6.000000000000000000e+01,4.835813593792726017e-01,4.264438633670585843e-01
6.100000000000000000e+01,4.837682868471424591e-01,4.266930999908849498e-01
6.200000000000000000e+01,4.833944319114027999e-01,4.269423366147115373e-01
6.300000000000000000e+01,4.837682868471424591e-01,4.273161915504511410e-01
6.400000000000000000e+01,4.836748231132075304e-01,4.278146647981040940e-01
6.500000000000000000e+01,4.835813593792726017e-01,4.273161915504511410e-01
6.600000000000000000e+01,4.835813593792726017e-01,4.276900464861908002e-01
6.700000000000000000e+01,4.835813593792726017e-01,4.271915732385379028e-01
6.800000000000000000e+01,4.835813593792726017e-01,4.273161915504511410e-01
6.900000000000000000e+01,4.834878956453376175e-01,4.275654281742776175e-01
7.000000000000000000e+01,4.835813593792726017e-01,4.274408098623643792e-01
7.100000000000000000e+01,4.836748231132075304e-01,4.283131380457569359e-01
7.200000000000000000e+01,4.836748231132075304e-01,4.284377563576702297e-01
7.300000000000000000e+01,4.836748231132075304e-01,4.285623746695834124e-01
7.400000000000000000e+01,4.836748231132075304e-01,4.280639014219305150e-01
7.500000000000000000e+01,4.833944319114027999e-01,4.274408098623643792e-01
7.600000000000000000e+01,4.836748231132075304e-01,4.283131380457569359e-01
7.700000000000000000e+01,4.835813593792726017e-01,4.280639014219305150e-01
7.800000000000000000e+01,4.835813593792726017e-01,4.280639014219305150e-01
7.900000000000000000e+01,4.836748231132075304e-01,4.281885197338437532e-01
8.000000000000000000e+01,4.834878956453376175e-01,4.276900464861908002e-01
8.100000000000000000e+01,4.836748231132075304e-01,4.278146647981040940e-01
8.200000000000000000e+01,4.835813593792726017e-01,4.279392831100172767e-01
8.300000000000000000e+01,4.835813593792726017e-01,4.283131380457569359e-01
8.400000000000000000e+01,4.836748231132075304e-01,4.284377563576702297e-01
8.500000000000000000e+01,4.835813593792726017e-01,4.284377563576702297e-01
8.600000000000000000e+01,4.837682868471424591e-01,4.284377563576702297e-01
8.700000000000000000e+01,4.835813593792726017e-01,4.284377563576702297e-01
8.800000000000000000e+01,4.837682868471424591e-01,4.291854662291494926e-01
8.900000000000000000e+01,4.834878956453376175e-01,4.298085577887156283e-01
9.000000000000000000e+01,4.834878956453376175e-01,4.298085577887156283e-01
9.100000000000000000e+01,4.831140407095979583e-01,4.291854662291494926e-01
9.200000000000000000e+01,4.830205769756630296e-01,4.294347028529760801e-01
9.300000000000000000e+01,4.831140407095979583e-01,4.291854662291494926e-01
9.400000000000000000e+01,4.832075044435329425e-01,4.289362296053231272e-01
9.500000000000000000e+01,4.832075044435329425e-01,4.295593211648892074e-01
