t,x,y
0.000000000000000000e+00,4.771323617377631887e-01,4.275654281742776175e-01
1.000000000000000000e+00,4.774127529395679193e-01,4.276900464861908002e-01
2.000000000000000000e+00,4.777866078753075785e-01,4.279392831100172767e-01
3.000000000000000000e+00,4.776931441413727053e-01,4.276900464861908002e-01
4.000000000000000000e+00,4.775062166735027924e-01,4.275654281742776175e-01
5.000000000000000000e+00,4.776931441413727053e-01,4.275654281742776175e-01
6.000000000000000000e+00,4.775996804074377766e-01,4.275654281742776175e-01
7.000000000000000000e+00,4.774127529395679193e-01,4.275654281742776175e-01
8.000000000000000000e+00,4.775062166735027924e-01,4.275654281742776175e-01
9.000000000000000000e+00,4.775062166735027924e-01,4.276900464861908002e-01
1.000000000000000000e+01,4.775996804074377766e-01,4.278146647981040940e-01
1.100000000000000000e+01,4.776931441413727053e-01,4.278146647981040940e-01
1.200000000000000000e+01,4.779735353431774358e-01,4.278146647981040940e-01
1.300000000000000000e+01,4.781604628110472932e-01,4.276900464861908002e-01
1.400000000000000000e+01,4.784408540128520237e-01,4.273161915504511410e-01
1.500000000000000000e+01,4.780669990771123645e-01,4.271915732385379028e-01
1.600000000000000000e+01,4.781604628110472932e-01,4.271915732385379028e-01
1.700000000000000000e+01,4.781604628110472932e-01,4.270669549266246645e-01
1.800000000000000000e+01,4.780669990771123645e-01,4.274408098623643792e-01
1.900000000000000000e+01,4.779735353431774358e-01,4.278146647981040940e-01
2.000000000000000000e+01,4.775996804074377766e-01,4.280639014219305150e-01
2.100000000000000000e+01,4.773192892056329906e-01,4.281885197338437532e-01
2.200000000000000000e+01,4.771323617377631887e-01,4.273161915504511410e-01
2.300000000000000000e+01,4.775996804074377766e-01,4.271915732385379028e-01
2.400000000000000000e+01,4.775062166735027924e-01,4.275654281742776175e-01
2.500000000000000000e+01,4.776931441413727053e-01,4.271915732385379028e-01
2.600000000000000000e+01,4.777866078753075785e-01,4.275654281742776175e-01
2.700000000000000000e+01,4.782539265449821664e-01,4.268177183027982990e-01
2.800000000000000000e+01,4.781604628110472932e-01,4.275654281742776175e-01
2.900000000000000000e+01,4.781604628110472932e-01,4.274408098623643792e-01
3.000000000000000000e+01,4.784408540128520237e-01,4.273161915504511410e-01
3.100000000000000000e+01,4.784408540128520237e-01,4.273161915504511410e-01
3.200000000000000000e+01,4.783473902789171506e-01,4.273161915504511410e-01
3.300000000000000000e+01,4.784408540128520237e-01,4.274408098623643792e-01
3.400000000000000000e+01,4.784408540128520237e-01,4.275654281742776175e-01
3.500000000000000000e+01,4.780669990771123645e-01,4.275654281742776175e-01
3.600000000000000000e+01,4.780669990771123645e-01,4.275654281742776175e-01
3.700000000000000000e+01,4.780669990771123645e-01,4.275654281742776175e-01
3.800000000000000000e+01,4.780669990771123645e-01,4.274408098623643792e-01
3.900000000000000000e+01,4.780669990771123645e-01,4.274408098623643792e-01
4.000000000000000000e+01,4.780669990771123645e-01,4.274408098623643792e-01
