t,x,y
0.000000000000000000e+00,4.961054997265517685e-01,4.691879443532949723e-01
1.000000000000000000e+00,4.961989634604866972e-01,4.696864176009478697e-01
2.000000000000000000e+00,4.962924271944216259e-01,4.715556922796462769e-01
3.000000000000000000e+00,4.961989634604866972e-01,4.711818373439066732e-01
4.000000000000000000e+00,4.961054997265517685e-01,4.709326007200801967e-01
5.000000000000000000e+00,4.961054997265517685e-01,4.704341274724272992e-01
6.000000000000000000e+00,4.961054997265517685e-01,4.703095091605140055e-01
7.000000000000000000e+00,4.958251085247470380e-01,4.701848908486008227e-01
8.000000000000000000e+00,4.959185722586819667e-01,4.685648527937288921e-01
9.000000000000000000e+00,4.959185722586819667e-01,4.680663795460759946e-01
1.000000000000000000e+01,4.961989634604866972e-01,4.718049289034727534e-01
1.100000000000000000e+01,4.962924271944216259e-01,4.696864176009478697e-01
1.200000000000000000e+01,4.964793546622914833e-01,4.674432879865098589e-01
1.300000000000000000e+01,4.964793546622914833e-01,4.690633260413817340e-01
1.400000000000000000e+01,4.965728183962263564e-01,4.705587457843405375e-01
1.500000000000000000e+01,4.966662821301612851e-01,4.681909978579892329e-01
1.600000000000000000e+01,4.966662821301612851e-01,4.693125626652083215e-01
1.700000000000000000e+01,4.961989634604866972e-01,4.653247766839849753e-01
1.800000000000000000e+01,4.957316447908121093e-01,4.614616090146750338e-01
1.900000000000000000e+01,4.963858909283565546e-01,4.640785935648527594e-01
2.000000000000000000e+01,4.962924271944216259e-01,4.635801203171998619e-01
2.100000000000000000e+01,4.965728183962263564e-01,4.629570287576337262e-01
2.200000000000000000e+01,4.968532095980311425e-01,4.645770668125057123e-01
2.300000000000000000e+01,4.975074557355755323e-01,4.661971048673776430e-01
2.400000000000000000e+01,5.007786864232977031e-01,4.696864176009478697e-01
2.500000000000000000e+01,5.007786864232977031e-01,4.718049289034727534e-01
2.600000000000000000e+01,5.007786864232977031e-01,4.685648527937288921e-01
2.700000000000000000e+01,5.009656138911675605e-01,4.685648527937288921e-01
2.800000000000000000e+01,4.998440490839485273e-01,4.652001583720717925e-01
2.900000000000000000e+01,4.998440490839485273e-01,4.660724865554644047e-01
3.000000000000000000e+01,4.998440490839485273e-01,4.669448147388569059e-01
3.100000000000000000e+01,5.002179040196882420e-01,4.694371809771214488e-01
3.200000000000000000e+01,5.002179040196882420e-01,4.718049289034727534e-01
3.300000000000000000e+01,5.002179040196882420e-01,4.718049289034727534e-01
3.400000000000000000e+01,5.005917589554279568e-01,4.716803105915595151e-01
3.500000000000000000e+01,4.995636578821437968e-01,4.713064556558198004e-01
